zip,area,primary_county_fips,primary_county,all_metro_county_fips,drought_county_granular
76511,austin,48491,Williamson,48491,yes
76527,austin,48491,Williamson,48491,yes
76530,austin,48491,Williamson,48491,yes
76537,austin,48491,Williamson,48491,yes
76573,austin,48491,Williamson,48491,yes
76574,austin,48453,Travis,48453|48491,yes
76577,austin,48491,Williamson,48491,yes
76578,austin,48491,Williamson,48491,yes
78130,austin,48209,Hays,48209,yes
78602,austin,48021,Bastrop,48021,no
78610,austin,48209,Hays,48055|48209|48453,yes
78612,austin,48453,Travis,48021|48453,yes
78613,austin,48453,Travis,48453|48491,yes
78615,austin,48453,Travis,48453|48491,yes
78616,austin,48453,Travis,48021|48055|48453,yes
78617,austin,48453,Travis,48021|48453,yes
78619,austin,48209,Hays,48209,yes
78620,austin,48209,Hays,48209|48453,yes
78621,austin,48453,Travis,48021|48453|48491,yes
78622,austin,48055,Caldwell,48055,no
78623,austin,48209,Hays,48209,yes
78626,austin,48491,Williamson,48491,yes
78628,austin,48491,Williamson,48491,yes
78632,austin,48055,Caldwell,48055,no
78633,austin,48491,Williamson,48491,yes
78634,austin,48453,Travis,48453|48491,yes
78640,austin,48209,Hays,48055|48209|48453,yes
78641,austin,48453,Travis,48453|48491,yes
78642,austin,48491,Williamson,48491,yes
78644,austin,48055,Caldwell,48055,no
78645,austin,48453,Travis,48453,yes
78648,austin,48055,Caldwell,48055,no
78650,austin,48021,Bastrop,48021,no
78652,austin,48209,Hays,48209|48453,yes
78653,austin,48453,Travis,48021|48453,yes
78654,austin,48453,Travis,48453,yes
78655,austin,48055,Caldwell,48055,no
78656,austin,48209,Hays,48055|48209,yes
78659,austin,48021,Bastrop,48021,no
78660,austin,48453,Travis,48453,yes
78661,austin,48055,Caldwell,48055,no
78662,austin,48021,Bastrop,48021|48055,no
78663,austin,48209,Hays,48209|48453,yes
78664,austin,48453,Travis,48453|48491,yes
78665,austin,48491,Williamson,48491,yes
78666,austin,48209,Hays,48055|48209,yes
78669,austin,48453,Travis,48453,yes
78674,austin,48491,Williamson,48491,yes
78676,austin,48209,Hays,48209,yes
78681,austin,48491,Williamson,48491,yes
78701,austin,48453,Travis,48453,yes
78702,austin,48453,Travis,48453,yes
78703,austin,48453,Travis,48453,yes
78704,austin,48453,Travis,48453,yes
