Report_ID,Report_Date,NIBRS_Code_Name,NIBRS_Crime_Against,Service_Area,NIBRS_Group,Zip_Code,DateTime
53736450021,2024-01-12,Impersonation,PROPERTY,WEST,Fraud Offenses,78201,2026-09-01
60170026944,2024-10-22,Pornography/Obscene Material,SOCIETY,WEST,Pornography/Obscene Material,78201,2026-09-01
64272315061,2025-05-31,Pornography/Obscene Material,SOCIETY,CENTRAL,Pornography/Obscene Material,78201,2026-09-01
72435456384,2026-08-25,Pornography/Obscene Material,SOCIETY,WEST,Pornography/Obscene Material,78201,2026-09-01
50059160405,2023-05-24,Purse-snatching,PROPERTY,WEST,Larceny/Theft Offenses,78201,2026-09-01
57637032063,2024-07-15,Stolen Property Offenses,PROPERTY,WEST,Stolen Property Offenses,78201,2026-09-01
69539433955,2026-04-04,Stolen Property Offenses,PROPERTY,WEST,Stolen Property Offenses,78201,2026-09-01
60976476258,2024-11-24,Extortion/Blackmail,PROPERTY,EAST,Extortion/Blackmail,78202,2026-09-01
56463908705,2024-05-30,Theft From Coin-Operated Machine or Device,PROPERTY,EAST,Larceny/Theft Offenses,78202,2026-09-01
51928590289,2023-08-17,Fondling,PERSON,CENTRAL,"Sex Offenses, Forcible",78205,2026-09-01
68518169646,2026-02-11,Theft From Coin-Operated Machine or Device,PROPERTY,DOWNTOWN,Larceny/Theft Offenses,78205,2026-09-01
63553579122,2025-04-12,Welfare Fraud,PROPERTY,DOWNTOWN,Fraud Offenses,78205,2026-09-01
60769538064,2024-11-09,Wire Fraud,PROPERTY,DOWNTOWN,Fraud Offenses,78205,2026-09-01
66048233523,2025-09-13,Murder & Nonnegligent Manslaughter,PERSON,CENTRAL,Homicide Offenses,78207,2026-09-01
63780120540,2025-05-01,Pornography/Obscene Material,SOCIETY,CENTRAL,Pornography/Obscene Material,78207,2026-09-01
63724201716,2025-04-28,Stolen Property Offenses,PROPERTY,CENTRAL,Stolen Property Offenses,78207,2026-09-01
52554479448,2023-10-10,Theft From Coin-Operated Machine or Device,PROPERTY,CENTRAL,Larceny/Theft Offenses,78207,2026-09-01
51904626416,2023-08-15,Arson,PROPERTY,EAST,Arson,78208,2026-09-01
63517055789,2025-04-09,Incest,PERSON,DOWNTOWN,"Sex Offenses, Nonforcible",78208,2026-09-01
